unit_id,CropYield,IrrigationRate,SoilMoisture,TissueNutrientAssay
0,24.276773196799716,51.686801111454585,79.28436417722116,9.320252071143514
1,27.99355302025082,43.926955067857435,72.57158331778774,9.212303040461833
2,21.816708061138268,40.92290189852751,55.68883750894341,10.17948620189678
3,17.584706186599597,29.7732219729337,46.9179444579889,9.822081676956014
4,28.885453758960843,49.64555326474876,74.21534938211619,8.97228026252923
5,29.353394365530583,32.35689558080238,79.20288923554718,9.684548491083838
6,26.22331188730644,32.823680308414474,84.29434622262211,9.848064075252028
7,27.365345483587927,45.77328659736233,85.8555304631868,9.980902380920757
8,29.34717484204865,53.540478078128466,78.59229216557382,10.367399114382476
9,28.07229894831916,56.04945115194022,60.186148848837426,9.50277072611868
10,24.8725635275532,36.110707951789465,65.10821204844217,10.05050379779083
11,30.16665690558304,47.33041754435682,94.85980946081419,9.86378599089803
12,21.144637832430906,43.92124145753602,66.14072307985163,9.315491281332266
13,33.044697463262295,45.780583193657634,79.18242488171595,9.461025975652893
14,28.263680719577035,38.53862922808776,89.1622168540875,10.426419047886426
15,30.184452326290604,36.67846711207378,93.14771224759818,9.235030290465405
16,31.38444355931044,38.10172486719264,84.05224827894797,9.96077085863077
17,28.80789923060932,12.988518069474157,77.09415261869067,9.282769242579311
18,25.885646340802026,40.88209115600072,56.17792796898697,9.550664069419321
19,23.89007718595567,44.78124681336537,69.21627738786817,9.878627439580162
20,28.399943770443052,53.82278494390509,74.05495786498068,9.526001259331755
21,25.139110024183882,62.36668496834901,77.71996361631173,10.004011904756302
22,21.04499190437837,31.685246330916865,79.20598124521959,9.633586183427447
23,28.692134324175434,16.22799869822979,86.86306757043609,9.216148379237717
24,33.13811966784041,59.61377028764918,56.90820467586632,9.51532938922514
25,21.31470572067483,45.15184281461434,59.659026898331774,9.842914498148154
26,26.20832170291705,52.94161167218779,89.14239810717929,8.551328439003722
27,24.946660128940835,32.607000085171904,67.6140785793713,9.053599367171874
28,30.832160828090565,27.354300177784566,76.65100916608984,9.513252279650096
29,25.171760180920103,36.46415056078796,73.1994810304589,8.314837054483764
