unit_id,CropYield,do_ph_acidifier,do_iron_fertigation
0,19.72081222844622,5.5,100.0
1,18.472599895694724,5.5,100.0
2,27.18210346679568,5.5,100.0
3,16.923712059251528,5.5,100.0
4,20.177104793973253,5.5,100.0
5,19.848313515670284,5.5,100.0
6,22.714287345136874,5.5,100.0
7,24.399348756259137,5.5,100.0
8,23.146176996482765,5.5,100.0
9,15.85597919564399,5.5,100.0
10,18.532630735774053,5.5,100.0
11,23.048257588750253,5.5,100.0
12,19.22197939599462,5.5,100.0
13,16.847104115001184,5.5,100.0
14,23.5366283660088,5.5,100.0
15,17.081990221475778,5.5,100.0
16,22.19801469253176,5.5,100.0
17,17.775872861742613,5.5,100.0
18,21.637231881499666,5.5,100.0
19,15.454484447754519,5.5,100.0
20,21.462551004765427,5.5,100.0
21,15.28670809920465,5.5,100.0
22,19.15488875901611,5.5,100.0
23,19.93339233265175,5.5,100.0
24,21.032571885053006,5.5,100.0
25,20.79658578857687,5.5,100.0
26,18.81546724434445,5.5,100.0
27,20.658096792047097,5.5,100.0
28,20.186061964569763,5.5,100.0
29,20.459101244442788,5.5,100.0
30,21.07436382017424,5.5,100.0
31,23.405166896090236,5.5,100.0
32,19.12720422870272,5.5,100.0
33,26.248135641755976,5.5,100.0
34,21.96472362010823,5.5,100.0
35,18.41982673933752,5.5,100.0
36,26.1854005905426,5.5,100.0
37,17.065774937026273,5.5,100.0
38,16.186723485240023,5.5,100.0
39,19.922014938016797,5.5,100.0
40,30.435452759336883,5.5,100.0
41,19.662268722725138,5.5,100.0
42,23.109810974591998,5.5,100.0
43,18.77323173972902,5.5,100.0
44,22.713174161229446,5.5,100.0
45,15.620129606595347,5.5,100.0
46,21.779646284344803,5.5,100.0
47,16.27065811186442,5.5,100.0
48,21.11195854086111,5.5,100.0
49,21.721289014420176,5.5,100.0
50,17.832613037822483,5.5,100.0
51,18.89744875384403,5.5,100.0
52,17.00350456578602,5.5,100.0
53,21.520008761914305,5.5,100.0
54,29.66028020133989,5.5,100.0
55,17.01485063674728,5.5,100.0
56,23.02483231419724,5.5,100.0
57,17.678502283252598,5.5,100.0
58,21.63188478638964,5.5,100.0
59,18.923397285753243,5.5,100.0
60,19.9106586813175,5.5,100.0
61,23.120884317455502,5.5,100.0
62,23.857130825196123,5.5,100.0
63,25.002666126936045,5.5,100.0
64,17.50846226113209,5.5,100.0
65,14.819340610603176,5.5,100.0
66,19.819533680914446,5.5,100.0
67,21.526582980931718,5.5,100.0
68,17.355673226252183,5.5,100.0
69,19.02614875360348,5.5,100.0
70,20.703744359492205,5.5,100.0
71,15.176490078529863,5.5,100.0
72,19.47013574046254,5.5,100.0
73,14.554359246035311,5.5,100.0
74,16.881769086795067,5.5,100.0
75,25.173369810824262,5.5,100.0
76,19.41474070135007,5.5,100.0
77,22.581912697786905,5.5,100.0
78,24.728426751549325,5.5,100.0
79,20.272124924303576,5.5,100.0
80,20.731297807097917,5.5,100.0
81,23.605856025159532,5.5,100.0
82,27.75581244107728,5.5,100.0
83,19.18023754490755,5.5,100.0
84,20.18843125214243,5.5,100.0
85,20.224399695753497,5.5,100.0
86,24.83419965102025,5.5,100.0
87,17.929430243474464,5.5,100.0
