unit_id,WaferYield,ChamberPressure,BakeTemperature,GasFlowArgon
0,9.354414962007777,79.28436417722116,50.01427740387522,50.72130143176622
1,23.48530319122511,72.57158331778774,50.48583122303469,44.911667534582236
2,14.67982949306559,55.68883750894341,62.181417659885014,52.64864578414893
3,8.956924998096685,46.9179444579889,26.69592294745177,58.08333926404878
4,26.376915207462268,74.21534938211619,61.95298124830481,60.29443738723083
5,24.00468057282304,79.20288923554718,36.342709950210356,39.442057967652
6,24.203011654716544,84.29434622262211,62.95515338448653,53.281716204277046
7,25.252028383449964,85.8555304631868,61.560796835057495,44.61623948884344
8,14.260873525928316,78.59229216557382,68.35972186563323,41.41672936803986
9,9.17793287983955,60.186148848837426,22.032762673914014,63.59370574095893
10,17.784408360866205,65.10821204844217,62.01269848085464,34.337955852916146
11,17.36939841505515,94.85980946081419,48.53932833438462,34.647139096280405
12,15.610305662671632,66.14072307985163,46.94666279956162,62.08042513231325
13,24.213198390382793,79.18242488171595,44.57447247740793,56.31060638039339
14,20.655310106460902,89.1622168540875,76.50566627827024,68.43438724487167
15,25.30238380062735,93.14771224759818,51.828956033445955,33.94740784377317
16,26.563578340205066,84.05224827894797,32.46628391115781,45.51835814819965
17,26.136289945037902,77.09415261869067,65.25974648466597,78.30534906142721
18,18.08552453021471,56.17792796898697,59.859520629221905,62.02886796561764
19,18.592859786817705,69.21627738786817,49.70526684379497,44.551559227575865
20,12.499224251516406,74.05495786498068,67.2252741493962,33.32637673736945
21,7.932425762306632,77.71996361631173,52.64810938252132,44.64277023757642
22,18.306777714983575,79.20598124521959,26.772184790604925,53.5657592148872
23,25.858455217673313,86.86306757043609,60.24047859854034,56.82532974959375
24,5.518487498467407,56.90820467586632,57.118576425237954,75.2255554437017
25,11.847805730389894,59.659026898331774,42.66644630053912,54.21316210522684
26,6.368187061473611,89.14239810717929,57.43825363714314,54.558769755648
27,22.35355505888635,67.6140785793713,74.56647233610086,42.39270238147057
28,22.494095587700937,76.65100916608984,53.89056027563263,44.688072665451394
29,22.136067300214933,73.1994810304589,45.34895161433409,48.086340709409804
30,23.681220229856006,86.33155277983597,40.29122650120342,40.72704932476856
31,26.53069148755687,81.58627135970175,35.788813056975656,54.084415345601556
32,19.845834105724478,82.90224898743631,60.81719872570373,64.02265731287036
33,26.713938380067496,100.09826801036643,49.932248664221305,29.422459264214215
34,31.657110647544513,79.13101242800315,62.83627642957232,63.133659679606254
35,21.846166418408625,70.16683756098152,51.61453275664075,29.073922073319398
36,24.167487701800155,81.57342848801534,51.87264128872783,64.80284140288603
37,27.662472387945407,98.42613391466121,53.440900723400794,65.82305333830739
38,18.82126448056322,68.35576321170466,61.85121115522215,49.74769215591434
39,20.212969046603597,89.78153199690054,41.90491603755793,54.27291771179503
40,16.296416688048367,66.48184427980587,63.95782747441878,50.9759674991998
41,11.864748252955977,58.2174877554865,63.07064578164911,39.236609500282086
42,20.39517373814236,67.19397809840208,32.34727618170919,54.705790222160374
43,21.827818757326767,74.53175620813455,43.1846309182982,42.97624559800479
44,32.52240010255411,83.85631644386339,54.83390420123297,39.539932580897144
45,21.318532162447468,57.37739889418661,68.3947082478195,71.15500229552318
46,29.502203168636417,91.29812957309674,76.92709842902512,40.93452735344954
47,18.93824225525346,74.41545829738534,47.48949804898724,28.60042611291417
48,27.943961960791448,82.58493879781892,41.479482172527526,30.37896287363823
49,24.03927865984726,81.14123735142567,45.78850118238887,57.468366784355396
50,-16.13888878807763,65.00613488577447,38.01010367707741,46.54034882588199
51,32.077240510972054,91.75955184666316,45.60370737405329,51.8345920596603
52,19.668348844887586,65.68415596733729,52.292077103509094,45.076211282056796
53,15.990909731785065,73.17898622881735,52.95182881650629,44.650017056087925
54,27.435710198950957,89.89997707652252,28.93516412486592,83.2818075009024
55,11.652775833742497,52.44895676769199,43.47963338394341,51.19626717115922
