unit_id,WaferYield,ChamberPressure,do_DepositionRate
0,23.219900598444347,73.76948150528577,1.2
1,19.9530884644763,63.81972232823699,1.2
2,26.77287664017399,61.053672936314584,1.2
3,13.927839040367584,60.04043655804359,1.2
4,19.23168492197086,74.0196918826395,1.2
5,22.29047072059719,65.00874719153613,1.2
6,26.838079121784205,64.46434121446804,1.2
7,24.601476386422554,72.15641776456215,1.2
8,24.99852034266239,54.59573129785848,1.2
9,24.893146026707385,78.22707512990189,1.2
10,20.48286983718733,71.02709012386931,1.2
11,24.181080843062983,72.78049438333987,1.2
12,20.566862158650085,69.38695081517324,1.2
13,18.938681032626608,74.15795619844356,1.2
14,16.700075321449564,60.197901603352406,1.2
15,17.974348988723555,76.15844544954913,1.2
16,28.243098652207546,84.59134461673541,1.2
17,23.840113692026616,74.57928131649035,1.2
18,23.91962884998648,63.366067491783085,1.2
19,18.959624603043846,66.29213571558734,1.2
20,30.019249895945713,85.37032000776331,1.2
21,16.612966052897228,67.57985567642167,1.2
22,27.152963924910043,69.81272043856305,1.2
23,15.391336430044294,45.94912484227302,1.2
24,25.264948941678533,79.31426457170505,1.2
25,28.297305602286336,85.02823586945317,1.2
26,18.772372045926662,67.51130225016276,1.2
27,22.024017856899437,58.17845580065698,1.2
28,25.453553435099234,71.57718011137159,1.2
29,27.202743786708254,79.24413487312312,1.2
30,20.570319135988136,60.88837796623133,1.2
31,25.09500077665281,75.09989250332022,1.2
32,23.2303392293715,85.9627798049674,1.2
33,33.80648843728126,99.03662643709912,1.2
34,25.711222688786712,56.117243929755745,1.2
35,24.354883475473795,76.37882153558144,1.2
36,30.684909830159917,77.55455900369063,1.2
37,29.431162255648825,86.79546174398014,1.2
38,20.95807499857242,97.48024225711004,1.2
39,19.92226940844174,78.09094538424465,1.2
40,27.25002254960574,78.55077263629539,1.2
41,24.914294538391264,81.59937279063016,1.2
42,22.794042848749577,66.9387181523051,1.2
43,21.301657136847076,81.14084437786043,1.2
44,23.895616376450693,67.67102519132935,1.2
45,22.705550716076637,88.92606947231333,1.2
46,26.21770886367397,59.13838600039971,1.2
47,17.46898280745475,81.36279334619884,1.2
48,23.994876366009745,70.08729918055639,1.2
49,28.386189583490562,87.70713494271187,1.2
50,18.022404290059914,56.08824291867857,1.2
51,21.627982822858158,78.39426921282198,1.2
52,22.9959219903956,79.90261516361058,1.2
53,18.024695716113783,52.58489945065475,1.2
54,34.342474937283484,87.2784212089897,1.2
55,18.197447545990993,77.06220960390257,1.2
56,31.128898094138616,91.43982679003479,1.2
57,22.59764167067604,81.4312582797198,1.2
58,24.30862713882358,83.86302357789292,1.2
59,25.109541356022703,91.57901210490668,1.2
60,24.501828044354564,86.32518980563297,1.2
61,25.949998194707174,72.16657895864034,1.2
62,23.779204800971073,63.74771389441974,1.2
63,22.993037888732307,74.45435409869839,1.2
64,14.302032175799042,58.39343854196346,1.2
65,19.73824810774058,72.79956339383965,1.2
66,25.299442653637943,81.29286371081164,1.2
67,23.09044082419091,82.62431169172564,1.2
68,9.745996952318878,43.15391795082231,1.2
69,26.976835299025016,80.97315093383975,1.2
70,20.354662043162516,60.75149241047502,1.2
71,19.269642383051114,72.4539543378327,1.2
72,16.42263070231642,57.669325291026425,1.2
73,20.05197133356107,81.8216485752064,1.2
74,14.377907851203224,54.574622975835915,1.2
75,26.863388160452338,80.29159247505865,1.2
76,24.868810732089358,64.63241460983616,1.2
77,18.439558347684795,62.15278290250208,1.2
78,28.87788843186709,81.70336357963369,1.2
79,27.672550084637784,91.32671291647921,1.2
