unit_id,WaferYield,HumidityFab,DepositionRate
0,19.98014510251729,65.6220240204355,8.785487659147792
1,22.068254417979468,35.88470487557906,14.780790056692913
2,21.213956783073282,48.225305752645596,55.35845049437576
3,26.77091839673914,68.3883768846518,36.35756831142796
4,20.709470676673742,65.3889321507437,34.171997977043375
5,18.397002124819036,54.298624819314355,70.32803656025527
6,22.60086323433774,61.30695254963076,47.31203278068514
7,9.674699692301903,73.16451888166786,43.49557320141326
8,20.212931579326092,71.2356421120728,37.35420579978183
9,23.694797023527975,34.30141381196878,39.6043843036774
10,18.87105640943965,42.89892771678551,22.77655100209614
11,35.246867308073256,55.31461867959524,44.55852336731795
12,23.008286366747342,56.261615309966146,31.67216902921464
13,21.145067404043697,68.4410407100006,26.740456817261148
14,17.004277447129848,68.2297492097533,45.80586341774349
15,13.072209661724678,45.88668610417625,33.10848275885808
16,7.016679143130951,43.70047915653481,50.50104928314541
17,6.680899817348271,47.947588812390315,31.164371645178196
18,20.33239867140991,55.330628672740296,42.42799861356949
19,17.396885960139482,65.78383986251745,48.665534089728965
20,3.297698016033383,36.67384164132017,53.04356361817728
21,14.203108388743605,37.94812006771718,42.384174397944605
22,25.55375294324661,70.6324455037925,58.251140826921194
23,19.94627413907988,38.35487668597641,29.956042118586343
24,21.37914066362334,63.927137927885795,38.3218897338782
25,25.545659244278895,80.04435380207198,40.7441743436015
26,22.54458456759768,58.55232750564894,14.914294869453686
27,26.3993173699836,68.93316356646162,27.710929965797376
28,20.51080520029341,38.485448565270936,27.54829194358792
29,20.363515740019558,63.416279211273526,46.6131810445014
30,22.892317156768023,44.51166237900116,30.079999703793753
31,29.477180996696625,50.49756417614087,33.45900324880599
32,27.007692728164855,52.9404572845627,26.029660121643424
33,15.988965902520192,35.56959801669654,37.735614285138695
34,22.636989304058655,36.3485835839073,32.08486208528444
35,20.94936674878149,40.49749802168702,35.75051697624123
36,19.078411329056365,43.540810089153766,33.70251768863626
37,20.363908328778834,42.96784868373537,33.24100289995217
38,22.568605909619134,36.29021297449956,55.00060913043634
39,19.20158931295622,37.32963934492262,42.45998718007884
40,23.95628416013355,36.9524944870809,42.10966510856957
41,14.803158469970628,64.52449944092156,53.07453787226162
42,17.70079658219825,31.58315686058976,59.65258530403305
43,-5.242938089438828,44.73699542563442,57.590799114302875
44,11.069635104739426,42.26894780007464,54.73652799210192
45,19.954419965281446,21.94975864050514,46.79781503823589
46,18.837581582472325,51.221838989666296,26.149064914512007
47,18.843471466574027,54.18675880842677,60.736029916707395
48,19.95920238033568,26.15189030587635,40.13429037043812
49,16.90597795830988,31.067183984726455,33.95239239915103
50,29.435212948043482,40.93251139991531,35.778840792267886
51,12.560867838424294,32.217919574660236,53.55000695435847
52,26.087583528575557,47.24713270848597,15.904439414686053
53,20.4736017793941,30.1887700458024,40.24245475304046
