unit_id,JobThroughput,RackInletTemp,CpuClock,GpuTemp,do_cooling_setpoint_controller
0,23.34034616377307,55.60707536212539,42.340167365624914,65.11312893954643,66.25
1,37.21613914528987,42.93881104162395,42.93375729101819,35.81073884493143,66.25
2,32.96022353564479,65.53323421956375,41.67796673994081,43.376733798111886,66.25
3,38.25410318251548,57.60286462437442,48.193679003912976,54.83598621003175,66.25
4,30.978617847165413,48.307485442691075,67.98554523810046,49.73021029494675,66.25
5,5.266318072712878,64.86683207016002,50.19525029218377,51.621182807158405,66.25
6,12.616225610595546,62.0288018992841,36.4268014401224,32.75732682438811,66.25
7,45.51238212772177,29.285089502241,72.98151691963142,49.663254243001454,66.25
8,16.250914425163177,63.206703712110794,59.94028527168255,37.08844839169796,66.25
9,46.19719960044667,51.41322981177304,49.51328661157506,65.18827899710698,66.25
10,49.143086257306074,48.88691605274856,58.69444806287386,25.968194933091333,66.25
11,13.592557860632535,57.7979645006497,42.81550727166353,27.06830751812177,66.25
12,26.95869326077141,47.709900296648435,57.04325090977448,49.19319290482039,66.25
13,24.532510617429345,42.81571464151402,35.59477105624864,39.70060389127285,66.25
14,31.526950593157213,54.967095330035036,48.60614414196311,57.038746208638884,66.25
15,18.504063606058597,54.0930492365127,50.247462139468546,50.07633439013582,66.25
16,30.805235611753552,50.196796456237465,53.471674003885454,41.918474650623224,66.25
17,35.86399116075791,40.48544199765723,57.772837146015036,42.35984010340247,66.25
18,18.736014163465924,53.127242969032835,41.11951480145962,53.94318804085341,66.25
19,7.51640139438389,65.90979200284681,52.33716549965262,50.60912610534931,66.25
20,14.86404836009532,54.09190313905212,37.0098347461102,49.217875369989734,66.25
21,23.852599722110025,53.60771361500682,49.06661239889359,53.93607324533011,66.25
22,35.102311932448785,33.73338110806354,61.104484538529974,59.86995793910043,66.25
23,11.187950101542643,52.55410437705561,31.6520953946824,41.48288559276611,66.25
24,17.33441732499687,50.355436963201484,52.78715843396869,69.96436882555045,66.25
25,58.82789012152742,34.52608965388517,62.55582737332637,39.83517102816086,66.25
26,10.255219153289747,53.724925940845985,47.441704607528415,52.36913395172227,66.25
27,35.09293851171908,42.61372194236573,54.393758193408374,44.08616406598689,66.25
28,15.759886673238327,50.03935502771144,57.789910563156525,51.67787845730199,66.25
29,18.114386335560024,74.70431678382202,41.43323447577082,47.194389468208534,66.25
30,21.17013634944913,66.5969204099601,53.562401896649924,52.54125993822122,66.25
