unit_id,ProductTiter,DissolvedOxygen,do_ChelatorDosing,do_FeedWaterFlowRate
0,30.680695399301374,65.2382107374582,60.0,0.0
1,23.64101605935326,65.49602679519307,60.0,0.0
2,27.308297604958124,65.23444905989321,60.0,0.0
3,32.10875579459094,71.7599290454949,60.0,0.0
4,26.006337801405778,68.16711801326655,60.0,0.0
5,30.883681947946553,68.22383871592939,60.0,0.0
6,30.76470456926406,77.28462326614749,60.0,0.0
7,25.19174247849802,73.28980525911601,60.0,0.0
8,28.44607993180463,66.04875169570454,60.0,0.0
9,34.038002041709575,85.43857690734326,60.0,0.0
10,31.025540751626504,75.23792376532816,60.0,0.0
11,30.469577463094538,63.23826800057867,60.0,0.0
12,35.66555903452669,91.87467755690099,60.0,0.0
13,22.496896782038316,57.645032855868195,60.0,0.0
14,31.24181475633263,78.89487434987912,60.0,0.0
15,23.564613318923524,60.24656800714674,60.0,0.0
16,34.83299783020188,78.59781526711566,60.0,0.0
17,26.550262550290675,66.45093832776571,60.0,0.0
18,25.37744305672499,73.06251085251859,60.0,0.0
19,23.705260420662142,68.00640738703287,60.0,0.0
20,40.81876803314867,86.7965654176949,60.0,0.0
21,35.44022537581817,82.98317512959433,60.0,0.0
22,24.643945565475864,62.953184224397724,60.0,0.0
23,30.073156535981727,77.6972911884906,60.0,0.0
24,50.17567578226391,107.83057556091717,60.0,0.0
25,27.112418341879952,77.69748709745153,60.0,0.0
26,24.767070393015267,66.73345664794009,60.0,0.0
27,27.52032138770595,82.7245150971886,60.0,0.0
28,26.09742778167285,70.37451096795836,60.0,0.0
29,29.884145563235467,71.52538084057575,60.0,0.0
30,42.50970975901507,94.07798954855375,60.0,0.0
31,36.82642117560339,79.78388120680515,60.0,0.0
32,34.48146913301795,91.074082273196,60.0,0.0
33,37.82531382809679,96.49711242335458,60.0,0.0
34,23.18923853749307,66.76813457293588,60.0,0.0
35,24.13836124430751,72.17231984852108,60.0,0.0
36,33.54780236803032,82.5154234571938,60.0,0.0
37,30.047638654648274,71.2218709469142,60.0,0.0
38,20.471471309115092,59.035332511499874,60.0,0.0
39,38.93550768935462,89.27932872625782,60.0,0.0
40,24.463271902983216,74.0955406811855,60.0,0.0
41,34.82249800452652,86.6325176537603,60.0,0.0
42,20.740780143733176,60.12036852463279,60.0,0.0
43,38.613178526394535,77.45246333126755,60.0,0.0
44,28.68335335528868,66.769490051901,60.0,0.0
45,25.56686722768437,64.32348449245318,60.0,0.0
46,40.10916342126815,90.23193451513414,60.0,0.0
47,26.779753505628936,67.64513617109705,60.0,0.0
48,38.04427010496918,87.5041837821485,60.0,0.0
49,35.480563747301076,92.49755069799802,60.0,0.0
50,27.237215097012317,72.37840388008078,60.0,0.0
51,34.45476028291786,76.85408860545326,60.0,0.0
52,34.469072238937535,79.84655864342946,60.0,0.0
53,32.56378388325232,70.81530129092468,60.0,0.0
54,35.98699878982852,76.76460664989449,60.0,0.0
55,29.065610484373373,79.89002051836214,60.0,0.0
56,32.201498281913906,78.80982436912896,60.0,0.0
57,30.52998435454588,82.13588119908071,60.0,0.0
58,27.89842301721492,66.91147086749504,60.0,0.0
59,37.070868759026254,88.07780183345773,60.0,0.0
60,30.746625609622143,73.03636961608836,60.0,0.0
61,34.936098024843844,79.10017012771951,60.0,0.0
62,29.145851131777654,76.57436067713984,60.0,0.0
63,29.077102949157013,75.11796541636836,60.0,0.0
64,22.598830122171595,67.13809462009593,60.0,0.0
65,34.299440235476126,80.83464037438424,60.0,0.0
66,20.33324536840015,61.64539086188196,60.0,0.0
67,27.021852057043205,74.92681682994458,60.0,0.0
68,22.650849561648574,61.58460090567177,60.0,0.0
69,39.46522537733115,87.64407043022086,60.0,0.0
70,23.924022914635728,65.10589343476775,60.0,0.0
71,34.35713677859045,84.80701778844397,60.0,0.0
72,41.38410638616729,98.99013506859865,60.0,0.0
73,32.35274882866798,74.6548662215644,60.0,0.0
74,30.007735034341557,74.13631627647361,60.0,0.0
75,34.66179407545084,83.67517184067106,60.0,0.0
76,35.2828082250566,75.70788598928084,60.0,0.0
77,35.59338696039324,76.85271803338624,60.0,0.0
78,36.95024205102097,96.02829335412002,60.0,0.0
