unit_id,ProductTiter,do_ChelatorDosing,do_FeedWaterFlowRate
0,26.74532540189678,50.0,50.0
1,30.67041046041556,50.0,50.0
2,23.410760824857007,50.0,50.0
3,27.949959435958107,50.0,50.0
4,28.461185752057194,50.0,50.0
5,30.22218259464771,50.0,50.0
6,35.22534230176385,50.0,50.0
7,28.652103589669753,50.0,50.0
8,24.376374959433768,50.0,50.0
9,27.94497715948819,50.0,50.0
10,15.24831685941126,50.0,50.0
11,27.581620837008312,50.0,50.0
12,30.995897847598375,50.0,50.0
13,33.73322933673994,50.0,50.0
14,32.63245457166321,50.0,50.0
15,39.45240428947317,50.0,50.0
16,25.376065848604433,50.0,50.0
17,28.32456086782025,50.0,50.0
18,29.382588370811177,50.0,50.0
19,31.430557841459837,50.0,50.0
20,32.56543345025008,50.0,50.0
21,26.436013437685535,50.0,50.0
22,34.702840513915824,50.0,50.0
23,36.800744974808126,50.0,50.0
24,31.515754222502196,50.0,50.0
25,17.967058391791955,50.0,50.0
26,40.122501009454126,50.0,50.0
27,29.146959176279434,50.0,50.0
28,34.12156227964309,50.0,50.0
29,29.479939298354836,50.0,50.0
30,25.593201160523325,50.0,50.0
31,29.155569939285414,50.0,50.0
32,29.788665303315273,50.0,50.0
33,32.78278249872712,50.0,50.0
34,22.069576858308615,50.0,50.0
35,28.842767908384502,50.0,50.0
36,30.406659490505014,50.0,50.0
37,33.68020646564714,50.0,50.0
38,15.832593152214363,50.0,50.0
39,34.096709427455785,50.0,50.0
40,28.821354310837407,50.0,50.0
41,23.590393757929764,50.0,50.0
42,38.139464207815834,50.0,50.0
43,32.44534053654006,50.0,50.0
44,20.900175207153612,50.0,50.0
45,18.726709142631663,50.0,50.0
46,32.03793202298516,50.0,50.0
47,25.601361024878667,50.0,50.0
48,28.535717841887575,50.0,50.0
49,23.01157752564912,50.0,50.0
50,35.43511825691402,50.0,50.0
51,17.245606133422402,50.0,50.0
52,33.78386166678194,50.0,50.0
53,20.240872476399066,50.0,50.0
54,29.152203627482976,50.0,50.0
55,33.575381161146616,50.0,50.0
56,21.860441630557045,50.0,50.0
57,29.350251847197605,50.0,50.0
58,39.7119187342913,50.0,50.0
59,32.429254905954934,50.0,50.0
60,27.16962323830649,50.0,50.0
61,15.141150359858258,50.0,50.0
62,33.64074381279787,50.0,50.0
63,37.886268752393455,50.0,50.0
64,34.10611646527967,50.0,50.0
65,15.704230105649408,50.0,50.0
66,20.96883330113751,50.0,50.0
67,31.371946436820174,50.0,50.0
68,28.92857167623236,50.0,50.0
69,34.48808936859081,50.0,50.0
70,29.868751776382087,50.0,50.0
71,15.70030827077006,50.0,50.0
72,29.483608915237443,50.0,50.0
73,13.658015404892991,50.0,50.0
74,32.12616499699515,50.0,50.0
75,32.762396562803204,50.0,50.0
76,26.979615690513384,50.0,50.0
77,24.88235907179587,50.0,50.0
78,37.73746858443996,50.0,50.0
79,25.170765558965215,50.0,50.0
80,31.433394158003473,50.0,50.0
81,33.714344088100866,50.0,50.0
82,39.883495516259075,50.0,50.0
83,29.431094958270364,50.0,50.0
84,25.138808703739976,50.0,50.0
85,26.21036591057876,50.0,50.0
86,29.348110024962132,50.0,50.0
87,28.516738882199917,50.0,50.0
88,15.23958815009472,50.0,50.0
89,23.019505362213405,50.0,50.0
90,13.094468134252843,50.0,50.0
91,31.990042868471086,50.0,50.0
92,42.47986376180503,50.0,50.0
93,26.396664868893385,50.0,50.0
94,33.696767750587824,50.0,50.0
95,37.439620984720165,50.0,50.0
96,21.049310111715243,50.0,50.0
97,34.80648058159829,50.0,50.0
98,32.835172797619705,50.0,50.0
99,17.501108629646332,50.0,50.0
100,26.928258238815374,50.0,50.0
101,41.99760230272539,50.0,50.0
102,28.13438727657582,50.0,50.0
103,24.065042961233793,50.0,50.0
104,26.83368755785044,50.0,50.0
105,29.99168381054558,50.0,50.0
106,32.049648581478756,50.0,50.0
107,41.45104395244105,50.0,50.0
108,34.541087118329834,50.0,50.0
109,26.70058556551719,50.0,50.0
110,29.439945757084192,50.0,50.0
111,21.32724490913221,50.0,50.0
112,18.27635998278394,50.0,50.0
