unit_id,ProductTiter,do_ChelatorDosing
0,26.633802767545223,60.0
1,30.449721135854535,60.0
2,28.11779658068855,60.0
3,29.443492222492225,60.0
4,29.89556608761759,60.0
5,32.3867810416592,60.0
6,35.17984575811473,60.0
7,37.40132392252615,60.0
8,12.021246489320399,60.0
9,34.6951786027404,60.0
10,29.251058117681897,60.0
11,39.24760689509312,60.0
12,28.104529454897726,60.0
13,18.600633856514882,60.0
14,31.16074545697832,60.0
15,31.907635085023834,60.0
16,35.64085111495571,60.0
17,38.036130424639275,60.0
18,40.39784809179482,60.0
19,42.49705357274862,60.0
20,35.24920826768614,60.0
21,30.186415300917563,60.0
22,43.34749898906295,60.0
23,35.85919772264746,60.0
24,33.28677757299417,60.0
25,34.599248007457966,60.0
26,30.409275240216402,60.0
27,21.863610725986796,60.0
28,25.489460203983242,60.0
29,33.31107454144511,60.0
30,31.189274227925726,60.0
31,33.163550228473824,60.0
32,33.434218218671,60.0
33,35.398777907595345,60.0
34,29.918236607553794,60.0
35,31.1892816460778,60.0
36,41.28634048023757,60.0
37,28.654036917866517,60.0
38,43.16564697912339,60.0
39,21.925977045034227,60.0
40,33.19885848455387,60.0
41,25.96966688581543,60.0
42,30.533177800020916,60.0
43,43.37176686376828,60.0
44,24.883071374173444,60.0
45,36.237349642739574,60.0
46,32.14228332362329,60.0
47,30.71787295222838,60.0
48,39.54077452270551,60.0
49,36.888584816770354,60.0
50,12.908849053487192,60.0
51,29.19023735878299,60.0
52,26.10532853611428,60.0
53,33.98498235127047,60.0
54,23.71157824823482,60.0
55,36.800710305769904,60.0
56,26.938319778240842,60.0
57,53.02842506488117,60.0
58,32.83317747984567,60.0
59,24.992624655788116,60.0
60,28.320119630457967,60.0
61,24.60390102519665,60.0
62,35.73763637696174,60.0
63,28.416350715965233,60.0
64,33.87905201653211,60.0
65,43.90390443748441,60.0
66,24.07022183018036,60.0
67,28.026552871232425,60.0
68,14.397320550890074,60.0
69,44.03587436508108,60.0
70,23.53090730064228,60.0
71,29.229301844294906,60.0
72,24.812789429839363,60.0
73,35.3691256171416,60.0
74,26.526460919141936,60.0
75,35.848851764771744,60.0
76,23.923982400834987,60.0
77,28.758750100872607,60.0
78,30.005932670066482,60.0
79,31.728185965670303,60.0
80,18.61826026079554,60.0
81,26.693710530455157,60.0
82,30.5069632063037,60.0
83,35.51761088498159,60.0
84,29.340524794261775,60.0
85,20.72101380996586,60.0
86,44.421791373624025,60.0
87,23.34752265777221,60.0
88,24.232081004433343,60.0
89,26.788785807185587,60.0
90,26.391780455266197,60.0
91,32.53192823665625,60.0
92,36.26301546371347,60.0
93,43.91468200064654,60.0
94,37.02181870080298,60.0
95,41.592495755486354,60.0
96,31.611278530496726,60.0
97,39.116866245878406,60.0
98,31.980695909858,60.0
99,35.99061931001704,60.0
100,35.26857847777467,60.0
101,24.73822202432281,60.0
102,21.090309496147956,60.0
103,28.548387183009673,60.0
104,23.415629768176167,60.0
105,26.954601479473396,60.0
106,32.03818792840485,60.0
107,12.968749329274296,60.0
108,32.579799473334674,60.0
109,33.129046689995214,60.0
110,47.64225916243047,60.0
111,21.89669343315436,60.0
112,25.434036188439286,60.0
113,35.99780552970198,60.0
114,31.549195287807258,60.0
115,36.02134720892806,60.0
116,43.59197541329814,60.0
117,25.272672414410454,60.0
118,40.149960382124966,60.0
119,33.99050204982459,60.0
120,24.55360419834647,60.0
121,22.601933314937487,60.0
122,31.398302173465026,60.0
123,18.431038852229626,60.0
124,20.062628834147368,60.0
125,41.31486052227757,60.0
126,18.94707060246337,60.0
127,24.85522197043945,60.0
128,23.719430176884174,60.0
129,23.202560714087504,60.0
130,31.493531667155345,60.0
131,33.90727054823248,60.0
132,21.742819440457122,60.0
133,33.022535535543305,60.0
134,24.94845202648026,60.0
135,23.291545776557548,60.0
136,42.640276113459144,60.0
137,40.8398083014932,60.0
138,29.363673789384713,60.0
139,34.26850731703177,60.0
140,26.44922046172639,60.0
141,29.449166930872146,60.0
142,39.897425925544724,60.0
143,30.12669794266681,60.0
144,45.75779679495061,60.0
145,32.84292927015237,60.0
146,38.365502848473284,60.0
147,27.864541458658373,60.0
148,29.740085521716964,60.0
149,45.469110550033285,60.0
150,18.92234866131531,60.0
151,18.551510034312855,60.0
152,26.578135153673983,60.0
153,38.999033946214915,60.0
154,30.66295728834417,60.0
155,31.421897125773395,60.0
156,25.06093870313876,60.0
157,22.965287722209474,60.0
158,29.701296617467374,60.0
159,24.46919959626912,60.0
160,25.25931032727831,60.0
161,37.91552125272056,60.0
162,28.652323127459507,60.0
163,37.97299819924007,60.0
164,33.37548167114493,60.0
165,34.622630903749155,60.0
166,30.728070054461146,60.0
167,38.05423769698849,60.0
168,31.705016608777296,60.0
169,24.12141634268059,60.0
170,30.03542899780361,60.0
171,31.85573226032079,60.0
172,29.381803709317207,60.0
173,15.908988835616551,60.0
174,40.94186515339929,60.0
175,28.46163175257958,60.0
176,23.663940791498888,60.0
177,26.481674743725332,60.0
178,24.54219778333913,60.0
179,32.73349553029899,60.0
180,38.42107108494049,60.0
181,17.22042685732637,60.0
182,18.09515467180106,60.0
183,26.564408749277312,60.0
184,15.899973059171852,60.0
185,30.06649553688889,60.0
186,25.40450912190454,60.0
187,18.942898803910627,60.0
188,36.65117387158341,60.0
189,32.14986489405882,60.0
190,28.441696431349754,60.0
191,24.349518158179965,60.0
192,42.50881450237203,60.0
193,33.91589119724646,60.0
194,29.29132647415077,60.0
195,24.21366722643113,60.0
196,25.040313380600846,60.0
197,38.40201738896988,60.0
198,16.682350508589664,60.0
199,35.65567067618325,60.0
200,25.502003464219463,60.0
201,25.404453977416544,60.0
202,29.040134076550025,60.0
203,32.55369041971271,60.0
204,37.105244624582426,60.0
205,26.71128234873453,60.0
206,21.92900325880871,60.0
207,34.64691073152051,60.0
208,29.252518719033212,60.0
209,29.950230090026363,60.0
210,27.674730055706853,60.0
211,35.44649028038629,60.0
212,26.85135609482656,60.0
213,24.834448017673587,60.0
214,39.162407641950615,60.0
215,43.3169235440443,60.0
216,33.63077159238161,60.0
217,34.32816676272372,60.0
218,21.53915183572205,60.0
219,25.10154644852185,60.0
220,30.870946872818863,60.0
221,31.374846737592698,60.0
222,34.62549431785888,60.0
223,41.46601017640797,60.0
224,23.249877410061316,60.0
225,21.714222949221277,60.0
226,37.14548372293491,60.0
227,24.617675246439845,60.0
228,39.321269359508946,60.0
229,24.645230429349223,60.0
230,22.454742620769842,60.0
231,18.824603262398536,60.0
232,22.718597971129793,60.0
233,24.41834584818764,60.0
234,27.113221547712197,60.0
235,32.071719767270714,60.0
236,28.69922434948223,60.0
237,25.351880489898576,60.0
238,30.99731382825183,60.0
239,29.36686859148807,60.0
240,32.87634559927196,60.0
241,31.01952613071491,60.0
242,29.31689709360129,60.0
243,35.743031799822845,60.0
244,39.38903743653634,60.0
245,41.504011628855714,60.0
246,26.645335579118267,60.0
247,34.38676134242229,60.0
248,30.79591395650261,60.0
249,33.83076025459087,60.0
250,22.546385094642357,60.0
251,22.196849402735864,60.0
252,32.43977051243619,60.0
253,37.41918453346451,60.0
254,25.906673685729928,60.0
255,23.17450618311201,60.0
256,35.23010706873875,60.0
257,39.73898281594019,60.0
258,29.496100049607296,60.0
259,35.160977022939626,60.0
260,37.73877979282812,60.0
261,21.973707723882903,60.0
262,31.45608106834605,60.0
263,21.536189133814847,60.0
264,34.72655508171371,60.0
265,38.09825488155919,60.0
266,33.244469833947484,60.0
267,38.45536083143651,60.0
268,31.116009438244593,60.0
269,43.453816643197655,60.0
270,23.76116354283276,60.0
271,32.47117793075458,60.0
272,36.47448640459601,60.0
273,36.808620923563325,60.0
274,32.76797058304089,60.0
275,30.060815474732905,60.0
276,31.54917755596177,60.0
277,29.880153977460647,60.0
278,30.48248559377838,60.0
279,36.872444037633784,60.0
280,24.82708288953575,60.0
281,31.554100995218437,60.0
282,27.907319827814778,60.0
283,25.847641542358613,60.0
284,41.87688709880349,60.0
285,22.52286545937772,60.0
286,36.74252054268768,60.0
287,25.62614163210364,60.0
288,30.2154328595456,60.0
289,35.8307422928428,60.0
290,32.25952966670107,60.0
291,20.630327445954467,60.0
292,36.85033708842247,60.0
293,19.81071998334984,60.0
294,30.711304751625878,60.0
295,31.607460103164808,60.0
296,48.00005044026709,60.0
297,30.907712866834363,60.0
298,35.91624094378133,60.0
299,43.851753145570385,60.0
300,37.917773358573456,60.0
