unit_id,CapacityRetention,CoulombicEfficiency,do_FixElectrolyteContaminant
0,-13.06396520019403,42.61837329732077,100.0
1,-1.4073497744401968,45.85236744824177,100.0
2,-25.969854259503656,44.268568041780455,100.0
3,-13.423809780652983,51.88934586165159,100.0
4,-17.595564465802507,61.420353579356025,100.0
5,-21.61947259745276,46.841541338590226,100.0
6,-21.28980184529253,44.0811990898101,100.0
7,-12.614501333778488,13.431707961629428,100.0
8,-30.178434994309978,46.800195247389546,100.0
9,-15.213831691306378,51.197668199454974,100.0
10,-13.430322355305941,44.8973383223159,100.0
11,-19.939332071469703,36.91532380933508,100.0
12,-13.523022096530292,46.71980575933558,100.0
13,1.8549953349317931,38.08838263893124,100.0
14,-6.975163136312886,57.12717577219642,100.0
15,4.850446846278387,40.77767388701362,100.0
16,-22.3295051836533,37.40489152708251,100.0
17,-20.239850234217286,32.12989735730656,100.0
18,0.20094249240875883,19.072391700202985,100.0
19,-24.0786462582924,71.3761020548668,100.0
20,-10.771447288196493,39.27467524930941,100.0
21,-21.496253957392085,48.71517690527476,100.0
22,20.930129519627293,26.960856386598916,100.0
23,-12.3866911131772,34.61762622674258,100.0
24,-15.819696059750635,60.522190637215004,100.0
25,-5.749960555590123,19.018445201396744,100.0
26,-8.444347226395493,43.384120872379846,100.0
27,8.037826142116494,38.77507482991376,100.0
28,-19.959226012259723,32.827686142861076,100.0
29,-23.211398406788636,56.05768642718974,100.0
30,-14.803375218809085,40.27518922229462,100.0
31,-23.112162063562543,34.53359454976737,100.0
32,-0.6037809057665706,4.448225405799175,100.0
33,-9.783528771716298,46.786917993924135,100.0
34,-14.437597340902915,45.140610424456625,100.0
35,-23.287206270584385,46.49842096580599,100.0
36,-7.384341273558297,39.43115920099747,100.0
37,-12.734266378627037,51.764026952090305,100.0
38,-22.944169856630058,45.77875194026491,100.0
39,-15.989889597853846,42.99377508675347,100.0
40,-28.845996198257964,64.98709471173628,100.0
41,3.609561480537119,27.019404335500113,100.0
42,-5.878602850639007,40.38798306808585,100.0
43,-11.31719933462389,41.38514565335399,100.0
44,-15.988190198798778,49.26378058032089,100.0
45,-6.187842120302323,14.720792925291873,100.0
46,-14.423589633057851,82.15449908080785,100.0
47,-7.534803723842342,27.081264637106038,100.0
48,-18.705494887348173,40.830965617563564,100.0
49,-10.407103118634165,30.95709534730153,100.0
50,-14.284475222370324,51.17510183572668,100.0
51,-29.069203761609955,40.723658546607616,100.0
52,-6.963942951542418,33.28207178038047,100.0
53,9.67932378071232,37.34530836121676,100.0
54,-19.665069352980172,25.048683417718575,100.0
55,-6.640040458920254,49.44078279260472,100.0
56,-19.017147102350854,25.33393348113337,100.0
57,-18.066358453227416,55.73179694677259,100.0
58,-14.876478283468769,48.18986131043631,100.0
59,-4.727767125332832,49.012636818144905,100.0
60,-24.1542949666839,51.17914271953801,100.0
61,-30.778648994744753,22.94059892697937,100.0
62,3.4902999476779035,47.71455030849144,100.0
63,-10.904547874835739,47.908190060816686,100.0
64,-14.948721254759224,59.91278558618626,100.0
65,-18.319410179163963,49.13125911331648,100.0
66,-22.66707738605041,49.39135948469647,100.0
67,0.8096804088652914,27.60983380753408,100.0
68,-13.131119875117644,24.8873670798211,100.0
69,-14.2121656680621,23.422567375183416,100.0
70,-9.78914453522066,45.03392641248142,100.0
71,-28.898318419376672,56.95870554174749,100.0
72,-12.318927579036378,28.287055362936794,100.0
