unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,Temperature,do_feed_flow_controller,do_chelator_dosing
0,59.557497784315814,-23.301437586472456,56.472731284354154,41.59533593859372,1.0,100.0
1,61.46453999230495,-8.580782792637802,60.518946130017284,42.70504109749406,1.0,100.0
2,53.04303499905679,-6.487101917462585,53.923973079534704,33.52289148553235,1.0,100.0
3,58.905618233630015,-20.059284086050745,57.3062188571913,29.900313449810085,1.0,100.0
4,44.16897998545747,23.817507671899207,50.819407070957304,39.25172446091131,1.0,100.0
5,44.850734656472945,22.611242743588107,38.710535007917954,31.543049805115896,1.0,100.0
6,54.381009143985025,9.699124886642895,60.32490935739769,26.554259166596452,1.0,100.0
7,59.45799777721962,13.062281719805302,58.223077036809755,37.919060667147114,1.0,100.0
8,45.762455485504205,0.9988425728889929,57.48657584678794,33.42431326289298,1.0,100.0
9,59.63024401162647,4.570664600174596,63.220143904744134,42.96334919089289,1.0,100.0
10,49.3063665911116,-16.127570668991787,48.54864282091976,41.084933243179236,1.0,100.0
11,58.42626407776893,-6.251778355105946,69.12849079837181,32.34530671254885,1.0,100.0
12,52.357296903161625,0.4036614860507699,50.29232505755272,35.27950292440157,1.0,100.0
13,58.6371614361816,-19.30650939578545,57.964896049954206,38.0459988010932,1.0,100.0
14,54.35217851141107,1.7510239424746303,52.440514891068545,32.887159174697956,1.0,100.0
15,59.19120838903545,24.13768615790539,64.9339704935736,33.783012484629644,1.0,100.0
16,55.00599167344702,-4.769563490481801,49.02129015758327,40.99263929532106,1.0,100.0
17,46.95918403253952,-17.005716052642715,43.57658095258041,39.61428706883726,1.0,100.0
18,55.82447472864418,22.47789294635676,46.68240596777675,37.218797593446,1.0,100.0
19,54.334192960503195,14.528454650853968,62.20148106490948,38.766351945560544,1.0,100.0
20,55.15068678302854,6.591378556332627,52.14978560227936,36.17701842624052,1.0,100.0
21,62.69771893323967,19.20235248531155,49.50271149682458,38.252072022037794,1.0,100.0
22,63.76858349547666,-8.982739233790939,79.36718770625005,31.956903316287605,1.0,100.0
